,species,decimalLongitude,decimalLatitude,country
0,Ayenia tomentosa,-40.700556,-19.53,Brazil
1,Ayenia tomentosa,-40.700556,-19.53,Brazil
2,Ayenia tomentosa,-38.646389,-8.592222,Brazil
3,Ayenia tomentosa,-38.023610999999995,-8.105278,Brazil
4,Ayenia tomentosa,-38.113056,-8.592222,Brazil
5,Ayenia dentata,-86.760944,12.922305999999999,Nicaragua
6,Ayenia micrantha,-86.64094399999999,12.848806,Nicaragua
7,Ayenia mansfeldiana,-54.518021999999995,-30.840049,Brazil
8,Ayenia blanchetiana,-40.905278,-11.56,Brazil
9,Ayenia blanchetiana,-42.463055,-15.499166,Brazil
10,Ayenia latifolia,-43.633333,-11.033333,Brazil
11,Ayenia angustifolia,-45.35,-13.5325,Brazil
12,Ayenia angustifolia,-47.381833,-6.942444,Brazil
13,Ayenia filiformis,-112.52938,33.567044,United States of America
14,Ayenia tomentosa,-38.148610999999995,-8.6375,Brazil
15,Ayenia tomentosa,-38.174721999999996,-8.6675,Brazil
16,Ayenia insulicola,-112.513531,33.602112,United States of America
17,Ayenia dentata,-90.00856,13.829889999999999,El Salvador
18,Ayenia dentata,-90.00272,13.833470000000002,El Salvador
19,Ayenia insulicola,-112.53983799999999,33.611807,United States of America
20,Ayenia tomentosa,-55.226943999999996,-23.203332999999997,Brazil
21,Ayenia latifolia,-47.366667,-6.933333,Brazil
22,Ayenia angustifolia,-43.601389000000005,-19.286667,Brazil
23,Ayenia angustifolia,-42.697778,-16.084167,Brazil
24,Ayenia angustifolia,-43.003056,-14.972778,Brazil
25,Ayenia angustifolia,-42.7525,-15.338332999999999,Brazil
26,Ayenia blanchetiana,-40.905833,-11.557777999999999,Brazil
27,Ayenia compacta,-116.37086000000001,33.17155,United States of America
28,Ayenia angustifolia,-46.359361,-11.824639,Brazil
29,Ayenia erecta,-36.8907,-7.474,Brazil
30,Ayenia erecta,-36.890833,-7.473889,Brazil
31,Ayenia erecta,-36.890833,-7.473889,Brazil
32,Ayenia erecta,-36.890833,-7.5,Brazil
33,Ayenia tomentosa,-38.88,-7.92,Brazil
34,Ayenia micrantha,-86.297528,12.544833,Nicaragua
35,Ayenia filiformis,-109.58113,30.2645,Mexico
36,Ayenia dentata,-89.60821999999999,13.68989,El Salvador
37,Ayenia mansfeldiana,-57.525,-30.191111,Brazil
38,Ayenia dentata,-89.59980999999999,13.68578,El Salvador
39,Ayenia mansfeldiana,-53.501028000000005,-30.835833,Brazil
40,Ayenia mansfeldiana,-53.501111,-30.835833,Brazil
41,Ayenia compacta,-116.38053000000001,33.13475,United States of America
42,Ayenia compacta,-116.26928999999998,33.58092,United States of America
43,Ayenia compacta,-116.29043,33.53015,United States of America
44,Ayenia compacta,-116.27819,33.49474,United States of America
45,Ayenia compacta,-116.25506999999999,33.50059,United States of America
46,Ayenia angustifolia,-47.353333,-6.955555,Brazil
47,Ayenia angustifolia,-47.442777,-7.049722,Brazil
48,Ayenia angustifolia,-47.225277,-6.555555,Brazil
49,Ayenia filiformis,-112.51718500000001,33.591669,United States of America
50,Ayenia filiformis,-112.543559,33.594409000000006,United States of America
51,Ayenia filiformis,-112.53983799999999,33.611789,United States of America
52,Ayenia euphrasiifolia,-82.4275,28.8008,United States of America
53,Ayenia euphrasiifolia,-82.4514,28.6842,United States of America
54,Ayenia micrantha,-101.669722,18.729722,Mexico
55,Ayenia mansfeldiana,-52.490278,-30.326944,Brazil
56,Ayenia blanchetiana,-40.905833,-11.559167,Brazil
57,Ayenia dentata,-89.41653000000001,14.358920000000001,El Salvador
